title,abstract,categories
Optical carrier wave shocking: detection and dispersion,"  Carrier wave shocking is studied using the Pseudo-Spectral Spatial Domain
(PSSD) technique. We describe the shock detection diagnostics necessary for
this numerical study, and verify them against theoretical shocking predictions
for the dispersionless case. These predictions show Carrier Envelope Phase
(CEP) and pulse bandwidth sensitivity in the single-cycle regime. The flexible
dispersion management offered by PSSD enables us to independently control the
linear and nonlinear dispersion. Customized dispersion profiles allow us to
analyze the development of both carrier self-steepening and shocks. The results
exhibit a marked asymmetry between normal and anomalous dispersion, both in the
limits of the shocking regime and in the (near) shocked pulse waveforms.
Combining these insights, we offer some suggestions on how carrier shocking (or
at least extreme self-steepening) might be realised experimentally.
",physics.optics
Patterns of dominant flows in the world trade web,"  The large-scale organization of the world economies is exhibiting
increasingly levels of local heterogeneity and global interdependency.
Understanding the relation between local and global features calls for
analytical tools able to uncover the global emerging organization of the
international trade network. Here we analyze the world network of bilateral
trade imbalances and characterize its overall flux organization, unraveling
local and global high-flux pathways that define the backbone of the trade
system. We develop a general procedure capable to progressively filter out in a
consistent and quantitative way the dominant trade channels. This procedure is
completely general and can be applied to any weighted network to detect the
underlying structure of transport flows. The trade fluxes properties of the
world trade web determines a ranking of trade partnerships that highlights
global interdependencies, providing information not accessible by simple local
analysis. The present work provides new quantitative tools for a dynamical
approach to the propagation of economic crises.
",q-fin.GN cond-mat.dis-nn physics.soc-ph
Two-way coupling of FENE dumbbells with a turbulent shear flow,"  We present numerical studies for finitely extensible nonlinear elastic (FENE)
dumbbells which are dispersed in a turbulent plane shear flow at moderate
Reynolds number. The polymer ensemble is described on the mesoscopic level by a
set of stochastic ordinary differential equations with Brownian noise. The
dynamics of the Newtonian solvent is determined by the Navier-Stokes equations.
Momentum transfer of the dumbbells with the solvent is implemented by an
additional volume forcing term in the Navier-Stokes equations, such that both
components of the resulting viscoelastic fluid are connected by a two-way
coupling. The dynamics of the dumbbells is given then by Newton's second law of
motion including small inertia effects. We investigate the dynamics of the flow
for different degrees of dumbbell elasticity and inertia, as given by
Weissenberg and Stokes numbers, respectively. For the parameters accessible in
our study, the magnitude of the feedback of the polymers on the macroscopic
properties of turbulence remains small as quantified by the global energy
budget and the Reynolds stresses. A reduction of the turbulent drag by up to
20% is observed for the larger particle inertia. The angular statistics of the
dumbbells shows an increasing alignment with the mean flow direction for both,
increasing elasticity and inertia. This goes in line with a growing asymmetry
of the probability density function of the transverse derivative of the
streamwise turbulent velocity component. We find that dumbbells get stretched
referentially in regions where vortex stretching or bi-axial strain dominate
the local dynamics and topology of the velocity gradient tensor.
",physics.flu-dyn nlin.CD
Symmetry Breaking Study with Deformed Ensembles,"  A random matrix model to describe the coupling of m-fold symmetry in
constructed. The particular threefold case is used to analyze data on
eigenfrequencies of elastomechanical vibration of an anisotropic quartz block.
It is suggested that such experimental/theoretical study may supply powerful
means to discern intrinsic symmetries in physical systems.
",physics.data-an cond-mat.other nlin.CD nucl-th
Text Line Segmentation of Historical Documents: a Survey,"  There is a huge amount of historical documents in libraries and in various
National Archives that have not been exploited electronically. Although
automatic reading of complete pages remains, in most cases, a long-term
objective, tasks such as word spotting, text/image alignment, authentication
and extraction of specific fields are in use today. For all these tasks, a
major step is document segmentation into text lines. Because of the low quality
and the complexity of these documents (background noise, artifacts due to
aging, interfering lines),automatic text line segmentation remains an open
research field. The objective of this paper is to present a survey of existing
methods, developed during the last decade, and dedicated to documents of
historical interest.
",cs.CV
Phase Transitions in the Coloring of Random Graphs,"  We consider the problem of coloring the vertices of a large sparse random
graph with a given number of colors so that no adjacent vertices have the same
color. Using the cavity method, we present a detailed and systematic analytical
study of the space of proper colorings (solutions).
  We show that for a fixed number of colors and as the average vertex degree
(number of constraints) increases, the set of solutions undergoes several phase
transitions similar to those observed in the mean field theory of glasses.
First, at the clustering transition, the entropically dominant part of the
phase space decomposes into an exponential number of pure states so that beyond
this transition a uniform sampling of solutions becomes hard. Afterward, the
space of solutions condenses over a finite number of the largest states and
consequently the total entropy of solutions becomes smaller than the annealed
one. Another transition takes place when in all the entropically dominant
states a finite fraction of nodes freezes so that each of these nodes is
allowed a single color in all the solutions inside the state. Eventually, above
the coloring threshold, no more solutions are available. We compute all the
critical connectivities for Erdos-Renyi and regular random graphs and determine
their asymptotic values for large number of colors.
  Finally, we discuss the algorithmic consequences of our findings. We argue
that the onset of computational hardness is not associated with the clustering
transition and we suggest instead that the freezing transition might be the
relevant phenomenon. We also discuss the performance of a simple local Walk-COL
algorithm and of the belief propagation algorithm in the light of our results.
",cond-mat.dis-nn cond-mat.stat-mech cs.CC
Parametric Learning and Monte Carlo Optimization,"  This paper uncovers and explores the close relationship between Monte Carlo
Optimization of a parametrized integral (MCO), Parametric machine-Learning
(PL), and `blackbox' or `oracle'-based optimization (BO). We make four
contributions. First, we prove that MCO is mathematically identical to a broad
class of PL problems. This identity potentially provides a new application
domain for all broadly applicable PL techniques: MCO. Second, we introduce
immediate sampling, a new version of the Probability Collectives (PC) algorithm
for blackbox optimization. Immediate sampling transforms the original BO
problem into an MCO problem. Accordingly, by combining these first two
contributions, we can apply all PL techniques to BO. In our third contribution
we validate this way of improving BO by demonstrating that cross-validation and
bagging improve immediate sampling. Finally, conventional MC and MCO procedures
ignore the relationship between the sample point locations and the associated
values of the integrand; only the values of the integrand at those locations
are considered. We demonstrate that one can exploit the sample location
information using PL techniques, for example by forming a fit of the sample
locations to the associated values of the integrand. This provides an
additional way to apply PL techniques to improve MCO.
",cs.LG
"Wide-bandwidth, tunable, multiple-pulse-width optical delays using slow
  light in cesium vapor","  We demonstrate an all-optical delay line in hot cesium vapor that tunably
delays 275 ps input pulses up to 6.8 ns and 740 input ps pulses up to 59 ns
(group index of approximately 200) with little pulse distortion. The delay is
made tunable with a fast reconfiguration time (hundreds of ns) by optically
pumping out of the atomic ground states.
",physics.optics
Study of a finite volume - finite element scheme for a nuclear transport model,"  We consider a problem of nuclear waste contamination. It takes into account the thermal effects. The temperature and the contaminant's concentration fulfill convection-diffusion-reaction equations. The velocity and the pressure in the flow satisfy the Darcy equation, with a viscosity depending on both concentration and temperature. The equations are nonlinear and strongly coupled. Using both finite volume and nonconforming finite element methods, we introduce a scheme adapted to this problem. We prove the stability and convergence of this scheme and give some error estimates.",math.NA cs.NA
"A Disciplined Approach to Adopting Agile Practices: The Agile Adoption
  Framework","  Many organizations aspire to adopt agile processes to take advantage of the
numerous benefits that it offers to an organization. Those benefits include,
but are not limited to, quicker return on investment, better software quality,
and higher customer satisfaction. To date however, there is no structured
process (at least in the public domain) that guides organizations in adopting
agile practices. To address this problem we present the Agile Adoption
Framework. The framework consists of two components: an agile measurement
index, and a 4-Stage process, that together guide and assist the agile adoption
efforts of organizations. More specifically, the agile measurement index is
used to identify the agile potential of projects and organizations. The 4-Stage
process, on the other hand, helps determine (a) whether or not organizations
are ready for agile adoption, and (b) guided by their potential, what set of
agile practices can and should be introduced.
",cs.SE
"General Doppler Shift Equation and the Possibility of Systematic Error
  in Calculation of Z for High Redshift Type Ia Supernovae","  Systematic error in calculation of z for high redshift type Ia supernovae
could help explain unexpected luminosity values that indicate an accelerating
rate of expansion of the universe.
",physics.gen-ph
Antenna Combining for the MIMO Downlink Channel,"  A multiple antenna downlink channel where limited channel feedback is
available to the transmitter is considered. In a vector downlink channel
(single antenna at each receiver), the transmit antenna array can be used to
transmit separate data streams to multiple receivers only if the transmitter
has very accurate channel knowledge, i.e., if there is high-rate channel
feedback from each receiver. In this work it is shown that channel feedback
requirements can be significantly reduced if each receiver has a small number
of antennas and appropriately combines its antenna outputs. A combining method
that minimizes channel quantization error at each receiver, and thereby
minimizes multi-user interference, is proposed and analyzed. This technique is
shown to outperform traditional techniques such as maximum-ratio combining
because minimization of interference power is more critical than maximization
of signal power in the multiple antenna downlink. Analysis is provided to
quantify the feedback savings, and the technique is seen to work well with user
selection and is also robust to receiver estimation error.
",cs.IT math.IT
"Acoustic resonances in microfluidic chips: full-image micro-PIV
  experiments and numerical simulations","  We show that full-image micro-PIV analysis in combination with images of
transient particle motion is a powerful tool for experimental studies of
acoustic radiation forces and acoustic streaming in microfluidic chambers under
piezo-actuation in the MHz range. The measured steady-state motion of both
large 5 um and small 1 um particles can be understood in terms of the acoustic
eigenmodes or standing ultra-sound waves in the given experimental
microsystems. This interpretation is supported by numerical solutions of the
corresponding acoustic wave equation.
",physics.flu-dyn
Low Density Lattice Codes,"  Low density lattice codes (LDLC) are novel lattice codes that can be decoded
efficiently and approach the capacity of the additive white Gaussian noise
(AWGN) channel. In LDLC a codeword x is generated directly at the n-dimensional
Euclidean space as a linear transformation of a corresponding integer message
vector b, i.e., x = Gb, where H, the inverse of G, is restricted to be sparse.
The fact that H is sparse is utilized to develop a linear-time iterative
decoding scheme which attains, as demonstrated by simulations, good error
performance within ~0.5dB from capacity at block length of n = 100,000 symbols.
The paper also discusses convergence results and implementation considerations.
",cs.IT math.IT
"Using conceptual metaphor and functional grammar to explore how language
  used in physics affects student learning","  This paper introduces a theory about the role of language in learning
physics. The theory is developed in the context of physics students' and
physicists' talking and writing about the subject of quantum mechanics. We
found that physicists' language encodes different varieties of analogical
models through the use of grammar and conceptual metaphor. We hypothesize that
students categorize concepts into ontological categories based on the
grammatical structure of physicists' language. We also hypothesize that
students over-extend and misapply conceptual metaphors in physicists' speech
and writing. Using our theory, we will show how, in some cases, we can explain
student difficulties in quantum mechanics as difficulties with language.
",physics.ed-ph
"Reversed flow at low frequencies in a microfabricated AC electrokinetic
  pump","  Microfluidic chips have been fabricated to study electrokinetic pumping
generated by a low voltage AC signal applied to an asymmetric electrode array.
A measurement procedure has been established and followed carefully resulting
in a high degree of reproducibility of the measurements. Depending on the ionic
concentration as well as the amplitude of the applied voltage, the observed
direction of the DC flow component is either forward or reverse. The impedance
spectrum has been thoroughly measured and analyzed in terms of an equivalent
circuit diagram. Our observations agree qualitatively, but not quantitatively,
with theoretical models published in the literature.
",physics.flu-dyn
"Energy of 4-Dimensional Black Hole, etc","  In this letter I suggest possible redefinition of mass density, not depending
on speed of the mass element, which leads to a more simple stress-energy for an
object. I calculate energy of black hole.
",physics.gen-ph
"Fabrication of Analog Electronics for Serial Readout of Silicon Strip
  Sensors","  A set of analog electronics boards for serial readout of silicon strip
sensors was fabricated. A commercially available amplifier is mounted on a
homemade hybrid board in order to receive analog signals from silicon strip
sensors. Also, another homemade circuit board is fabricated in order to
translate amplifier control signals into a suitable format and to provide bias
voltage to the amplifier as well as to the silicon sensors. We discuss
technical details of the fabrication process and performance of the circuit
boards we developed.
",physics.ins-det
"True and Apparent Scaling: The Proximity of the Markov-Switching
  Multifractal Model to Long-Range Dependence","  In this paper, we consider daily financial data of a collection of different
stock market indices, exchange rates, and interest rates, and we analyze their
multi-scaling properties by estimating a simple specification of the
Markov-switching multifractal model (MSM). In order to see how well the
estimated models capture the temporal dependence of the data, we estimate and
compare the scaling exponents $H(q)$ (for $q = 1, 2$) for both empirical data
and simulated data of the estimated MSM models. In most cases the multifractal
model appears to generate `apparent' long memory in agreement with the
empirical scaling laws.
",q-fin.ST physics.soc-ph
"Supporting Knowledge and Expertise Finding within Australia's Defence
  Science and Technology Organisation","  This paper reports on work aimed at supporting knowledge and expertise
finding within a large Research and Development (R&D) organisation. The paper
first discusses the nature of knowledge important to R&D organisations and
presents a prototype information system developed to support knowledge and
expertise finding. The paper then discusses a trial of the system within an R&D
organisation, the implications and limitations of the trial, and discusses
future research questions.
",cs.OH cs.DB cs.DL cs.HC
Distance preserving mappings from ternary vectors to permutations,"  Distance-preserving mappings (DPMs) are mappings from the set of all q-ary
vectors of a fixed length to the set of permutations of the same or longer
length such that every two distinct vectors are mapped to permutations with the
same or even larger Hamming distance than that of the vectors. In this paper,
we propose a construction of DPMs from ternary vectors. The constructed DPMs
improve the lower bounds on the maximal size of permutation arrays.
",cs.DM cs.IT math.IT
A Dynamic Algorithm for Blind Separation of Convolutive Sound Mixtures,"  We study an efficient dynamic blind source separation algorithm of convolutive sound mixtures based on updating statistical information in the frequency domain, andminimizing the support of time domain demixing filters by a weighted least square method. The permutation and scaling indeterminacies of separation, and concatenations of signals in adjacent time frames are resolved with optimization of $l^1 \times l^\infty$ norm on cross-correlation coefficients at multiple time lags. The algorithm is a direct method without iterations, and is adaptive to the environment. Computations on recorded and synthetic mixtures of speech and music signals show excellent performance.",math.ST cs.NA math.NA stat.CO stat.TH
"A Language-Based Approach for Improving the Robustness of Network
  Application Protocol Implementations","  The secure and robust functioning of a network relies on the defect-free
implementation of network applications. As network protocols have become
increasingly complex, however, hand-writing network message processing code has
become increasingly error-prone. In this paper, we present a domain-specific
language, Zebu, for describing protocol message formats and related processing
constraints. From a Zebu specification, a compiler automatically generates
stubs to be used by an application to parse network messages. Zebu is easy to
use, as it builds on notations used in RFCs to describe protocol grammars. Zebu
is also efficient, as the memory usage is tailored to application needs and
message fragments can be specified to be processed on demand. Finally,
Zebu-based applications are robust, as the Zebu compiler automatically checks
specification consistency and generates parsing stubs that include validation
of the message structure. Using a mutation analysis in the context of SIP and
RTSP, we show that Zebu significantly improves application robustness.
",cs.PL
"Mpemba effect and phase transitions in the adiabatic cooling of water
  before freezing","  An accurate experimental investigation on the Mpemba effect (that is, the
freezing of initially hot water before cold one) is carried out, showing that
in the adiabatic cooling of water a relevant role is played by supercooling as
well as by phase transitions taking place at 6 +/- 1 oC, 3.5 +/- 0.5 oC and 1.3
+/- 0.6 oC, respectively. The last transition, occurring with a non negligible
probability of 0.21, has not been detected earlier. Supported by the
experimental results achieved, a thorough theoretical analysis of supercooling
and such phase transitions, which are interpreted in terms of different
ordering of clusters of molecules in water, is given.
",physics.chem-ph physics.atm-clus physics.gen-ph
Calculating Valid Domains for BDD-Based Interactive Configuration,"  In these notes we formally describe the functionality of Calculating Valid
Domains from the BDD representing the solution space of valid configurations.
The formalization is largely based on the CLab configuration framework.
",cs.AI
Preconditioned Temporal Difference Learning,"  This paper has been withdrawn by the author. This draft is withdrawn for its
poor quality in english, unfortunately produced by the author when he was just
starting his science route. Look at the ICML version instead:
http://icml2008.cs.helsinki.fi/papers/111.pdf
",cs.LG cs.AI
"Trellis-Coded Quantization Based on Maximum-Hamming-Distance Binary
  Codes","  Most design approaches for trellis-coded quantization take advantage of the
duality of trellis-coded quantization with trellis-coded modulation, and use
the same empirically-found convolutional codes to label the trellis branches.
This letter presents an alternative approach that instead takes advantage of
maximum-Hamming-distance convolutional codes. The proposed source codes are
shown to be competitive with the best in the literature for the same
computational complexity.
",cs.IT math.IT
"Momentum distributions in time-dependent density functional theory:
  Product phase approximation for non-sequential double ionization in strong
  laser fields","  We investigate the possibility to deduce momentum space properties from
time-dependent density functional calculations. Electron and ion momentum
distributions after double ionization of a model Helium atom in a strong
few-cycle laser pulse are studied. We show that, in this case, the choice of
suitable functionals for the observables is considerably more important than
the choice of the correlation potential in the time-dependent Kohn-Sham
equations. By comparison with the solution of the time-dependent Schroedinger
equation, the insufficiency of functionals neglecting electron correlation is
demonstrated. We construct a functional of the Kohn-Sham orbitals, which in
principle yields the exact momentum distributions of the electrons and the ion.
The product-phase approximation is introduced, which reduces the problem of
approximating this functional significantly.
",physics.atom-ph
A Better Good-Turing Estimator for Sequence Probabilities,"  We consider the problem of estimating the probability of an observed string
drawn i.i.d. from an unknown distribution. The key feature of our study is that
the length of the observed string is assumed to be of the same order as the
size of the underlying alphabet. In this setting, many letters are unseen and
the empirical distribution tends to overestimate the probability of the
observed letters. To overcome this problem, the traditional approach to
probability estimation is to use the classical Good-Turing estimator. We
introduce a natural scaling model and use it to show that the Good-Turing
sequence probability estimator is not consistent. We then introduce a novel
sequence probability estimator that is indeed consistent under the natural
scaling model.
",cs.IT math.IT
The Formation of Lake Stars,"  Star patterns, reminiscent of a wide range of diffusively controlled growth
forms from snowflakes to Saffman-Taylor fingers, are ubiquitous features of ice
covered lakes. Despite the commonality and beauty of these ``lake stars'' the
underlying physical processes that produce them have not been explained in a
coherent theoretical framework. Here we describe a simple mathematical model
that captures the principal features of lake-star formation; radial fingers of
(relatively warm) water-rich regions grow from a central source and evolve
through a competition between thermal and porous media flow effects in a
saturated snow layer covering the lake. The number of star arms emerges from a
stability analysis of this competition and the qualitative features of this
meter-scale natural phenomena are captured in laboratory experiments.
",physics.geo-ph physics.flu-dyn
Measuring two-photon orbital angular momentum entanglement,"  We put forward an approach to estimate the amount of bipartite spatial
entanglement of down-converted photon states correlated in orbital angular
momentum and the magnitude of the transverse (radial) wave vectors. Both
degrees of freedom are properly considered in our framework, which only
requires azimuthal local linear optical transformations and mode selection
analysis with two fiber detectors. The coincidence distributions predicted by
our approach give an excellent fit to the distributions measured in a recent
experiment aimed to show the very high-dimensional transverse entanglement of
twin photons from a down-conversion source. Our estimate for the Schmidt number
is substantially lower but still confirms the presence of high-dimensional
entanglement.
",quant-ph physics.optics
"Compensation of loss in propagating surface plasmon polariton by gain in
  adjacent dielectric medium","  We report the suppression of loss of surface plasmon polariton propagating at
the interface between silver film and optically pumped polymer with dye. Large
magnitude of the effect enables a variety of applications of ""active""
nanoplasmonics. The experimental study is accompanied by the development of the
analytical description of the phenomenon and the solution of the controversy
regarding the direction of the wavevector of a wave with a strong evanescent
component in an active medium.
",physics.optics
The Limits of Special Relativity,"  The Special Theory of Relativity and the Theory of the Electron have had an
interesting history together. Originally the electron was studied in a non
relativistic context and this opened up the interesting possibility that lead
to the conclusion that the mass of the electron could be thought of entirely in
electromagnetic terms without introducing inertial considerations. However the
application of Special Relativity lead to several problems, both for an
extended electron and the point electron. These inconsistencies have, contrary
to popular belief not been resolved satisfactorily today, even within the
context of Quantum Theory. Nevertheless these and subsequent studies bring out
the interesting result that Special Relativity breaks down within the Compton
scale or when the Compton scale is not neglected. This again runs contrary to
an uncritical notion that Special Relativity is valid for point particles.
",physics.gen-ph
GLRT-Optimal Noncoherent Lattice Decoding,"  This paper presents new low-complexity lattice-decoding algorithms for
noncoherent block detection of QAM and PAM signals over complex-valued fading
channels. The algorithms are optimal in terms of the generalized likelihood
ratio test (GLRT). The computational complexity is polynomial in the block
length; making GLRT-optimal noncoherent detection feasible for implementation.
We also provide even lower complexity suboptimal algorithms. Simulations show
that the suboptimal algorithms have performance indistinguishable from the
optimal algorithms. Finally, we consider block based transmission, and propose
to use noncoherent detection as an alternative to pilot assisted transmission
(PAT). The new technique is shown to outperform PAT.
",cs.IT math.IT
"Rounding of first-order phase transitions and optimal cooperation in
  scale-free networks","  We consider the ferromagnetic large-$q$ state Potts model in complex evolving
networks, which is equivalent to an optimal cooperation problem, in which the
agents try to optimize the total sum of pair cooperation benefits and the
supports of independent projects. The agents are found to be typically of two
kinds: a fraction of $m$ (being the magnetization of the Potts model) belongs
to a large cooperating cluster, whereas the others are isolated one man's
projects. It is shown rigorously that the homogeneous model has a strongly
first-order phase transition, which turns to second-order for random
interactions (benefits), the properties of which are studied numerically on the
Barab\'asi-Albert network. The distribution of finite-size transition points is
characterized by a shift exponent, $1/\tilde{\nu}'=.26(1)$, and by a different
width exponent, $1/\nu'=.18(1)$, whereas the magnetization at the transition
point scales with the size of the network, $N$, as: $m\sim N^{-x}$, with
$x=.66(1)$.
",cond-mat.stat-mech cond-mat.dis-nn physics.soc-ph
Quasiparticles in Neon using the Faddeev Random Phase Approximation,"  The spectral function of the closed-shell Neon atom is computed by expanding
the electron self-energy through a set of Faddeev equations. This method
describes the coupling of single-particle degrees of freedom with correlated
two-electron, two-hole, and electron-hole pairs. The excitation spectra are
obtained using the Random Phase Approximation, rather than the Tamm-Dancoff
framework employed in the third-order algebraic diagrammatic contruction
[ADC(3)] method. The difference between these two approaches is studied, as
well as the interplay between ladder and ring diagrams in the self-energy.
Satisfactory results are obtained for the ionization energies as well as the
energy of the ground state with the Faddeev-RPA scheme that is also appropriate
for the high-density electron gas.
",physics.chem-ph nucl-th
"AFM Imaging of SWI/SNF action: mapping the nucleosome remodeling and
  sliding","  We propose a combined experimental (Atomic Force Microscopy) and theoretical
study of the structural and dynamical properties of nucleosomes. In contrast to
biochemical approaches, this method allows to determine simultaneously the DNA
complexed length distribution and nucleosome position in various contexts.
First, we show that differences in the nucleo-proteic structure observed
between conventional H2A and H2A.Bbd variant nucleosomes induce quantitative
changes in the in the length distribution of DNA complexed with histones. Then,
the sliding action of remodeling complex SWI/SNF is characterized through the
evolution of the nucleosome position and wrapped DNA length mapping. Using a
linear energetic model for the distribution of DNA complexed length, we extract
the net wrapping energy of DNA onto the histone octamer, and compare it to
previous studies.
",physics.bio-ph cond-mat.soft q-bio.BM
"The electronic structures, the equilibrium geometries and finite
  temperature properties of Na_n (n=39-55)","  Density-functional theory has been applied to investigate systematics of
sodium clusters Na_n in the size range of n= 39-55. A clear evolutionary trend
in the growth of their ground-state geometries emerges. The clusters at the
beginning of the series (n=39-43) are symmetric and have partial icosahedral
(two-shell) structure. The growth then goes through a series of disordered
clusters (n=44-52) where the icosahedral core is lost. However, for n>52 a
three shell icosahedral structure emerges. This change in the nature of the
geometry is abrupt. In addition, density-functional molecular dynamics has been
used to calculate the specific heat curves for the representative sizes n= 43,
45, 48 and 52. These results along with already available thermodynamic
calculations for n= 40, 50, and 55 enable us to carry out a detailed comparison
of the heat capacity curves with their respective geometries for the entire
series. Our results clearly bring out strong correlation between the evolution
of the geometries and the nature of the shape of the heat capacities. The
results also firmly establish the size-sensitive nature of the heat capacities
in sodium clusters.
",physics.atm-clus physics.comp-ph
"An information-based traffic control in a public conveyance system:
  reduced clustering and enhanced efficiency","  A new public conveyance model applicable to buses and trains is proposed in
this paper by using stochastic cellular automaton. We have found the optimal
density of vehicles, at which the average velocity becomes maximum,
significantly depends on the number of stops and passengers behavior of getting
on a vehicle at stops. The efficiency of the hail-and-ride system is also
discussed by comparing the different behavior of passengers. Moreover, we have
found that a big cluster of vehicles is divided into small clusters, by
incorporating information of the number of vehicles between successive stops.
",physics.soc-ph cond-mat.stat-mech
Use of Triangular Elements for Nearly Exact BEM Solutions,"  A library of C functions yielding exact solutions of potential and flux influences due to uniform surface distribution of singularities on flat triangular and rectangular elements has been developed. This library, ISLES, has been used to develop the neBEM solver that is both precise and fast in solving a wide range of problems of scientific and technological interest. Here we present the exact expressions proposed for computing the influence of uniform singularity distributions on triangular elements and illustrate their accuracy. We also present a study concerning the time taken to evaluate these long and complicated expressions \textit{vis a vis} that spent in carrying out simple quadratures. Finally, we solve a classic benchmark problem in electrostatics, namely, estimation of the capacitance of a unit square plate raised to unit volt. For this problem, we present the estimated values of capacitance and compare them successfully with some of the most accurate results available in the literature. In addition, we present the variation of the charge density close to the corner of the plate for various degrees of discretization. The variations are found to be smooth and converging. This is in clear contrast to the criticism commonly leveled against usual BEM solvers.",math.NA cs.NA math-ph math.MP physics.comp-ph
On restrictions of balanced 2-interval graphs,"  The class of 2-interval graphs has been introduced for modelling scheduling
and allocation problems, and more recently for specific bioinformatic problems.
Some of those applications imply restrictions on the 2-interval graphs, and
justify the introduction of a hierarchy of subclasses of 2-interval graphs that
generalize line graphs: balanced 2-interval graphs, unit 2-interval graphs, and
(x,x)-interval graphs. We provide instances that show that all the inclusions
are strict. We extend the NP-completeness proof of recognizing 2-interval
graphs to the recognition of balanced 2-interval graphs. Finally we give hints
on the complexity of unit 2-interval graphs recognition, by studying
relationships with other graph classes: proper circular-arc, quasi-line graphs,
K_{1,5}-free graphs, ...
",cs.DM q-bio.QM
"Retarded electric and magnetic fields of a moving charge: Feynman's
  derivation of Li\'enard-Wiechert potentials revisited","  Retarded electromagnetic potentials are derived from Maxwell's equations and
the Lorenz condition. The difference found between these potentials and the
conventional Li\'{e}nard-Wiechert ones is explained by neglect, for the latter,
of the motion-dependence of the effective charge density. The corresponding
retarded fields of a point-like charge in arbitary motion are compared with
those given by the formulae of Heaviside, Feynman, Jefimenko and other authors.
The fields of an accelerated charge given by the Feynman are the same as those
derived from the Li\'{e}nard-Wiechert potentials but not those given by the
Jefimenko formulae. A mathematical error concerning partial space and time
derivatives in the derivation of the Jefimenko equations is pointed out.
",physics.class-ph
"Sharp dark-mode resonances in planar metamaterials with broken
  structural symmetry","  We report that resonant response with a very high quality factor can be
achieved in a planar metamaterial by introducing symmetry breaking in the shape
of its structural elements, which enables excitation of dark modes, i.e. modes
that are weakly coupled to free space.
",physics.optics
"Optical implementation and entanglement distribution in Gaussian valence
  bond states","  We study Gaussian valence bond states of continuous variable systems,
obtained as the outputs of projection operations from an ancillary space of M
infinitely entangled bonds connecting neighboring sites, applied at each of $N$
sites of an harmonic chain. The entanglement distribution in Gaussian valence
bond states can be controlled by varying the input amount of entanglement
engineered in a (2M+1)-mode Gaussian state known as the building block, which
is isomorphic to the projector applied at a given site. We show how this
mechanism can be interpreted in terms of multiple entanglement swapping from
the chain of ancillary bonds, through the building blocks. We provide optical
schemes to produce bisymmetric three-mode Gaussian building blocks (which
correspond to a single bond, M=1), and study the entanglement structure in the
output Gaussian valence bond states. The usefulness of such states for quantum
communication protocols with continuous variables, like telecloning and
teleportation networks, is finally discussed.
",quant-ph cond-mat.other physics.optics
Improving immunization strategies,"  We introduce an immunization method where the percentage of required
vaccinations for immunity are close to the optimal value of a targeted
immunization scheme of highest degree nodes. Our strategy retains the advantage
of being purely local, without the need of knowledge on the global network
structure or identification of the highest degree nodes. The method consists of
selecting a random node and asking for a neighbor that has more links than
himself or more than a given threshold and immunizing him. We compare this
method to other efficient strategies on three real social networks and on a
scale-free network model, and find it to be significantly more effective.
",physics.soc-ph
An adaptive numerical method for the Vlasov equation based on a multiresolution analysis,"  In this paper, we present very first results for the adaptive solution on a grid of the phase space of the Vlasov equation arising in particles accelarator and plasma physics. The numerical algorithm is based on a semi-Lagrangian method while adaptivity is obtained using multiresolution analysis.",math.NA cs.NA
"What does Hirsch index evolution explain us? A case study: Turkish
  Journal of Chemistry","  The evolution of Turkish Journal of Chemistry (Turk J. Chem) Hirsch index
(h-index) over the period 1995-2005 is studied and determined in the case of
the self and without self-citations. It is seen that the effect of Hirsch index
of Turk J. Chem has a highly positive trend during the last five years. It
proves that Turk J. Chem is improving itself both in quantity and quality since
h-index reflects peer review, and peer review reflects research quality of a
journal.
",physics.ed-ph physics.soc-ph
"High-altitude signatures of ionospheric density depletions caused by
  field-aligned currents","  We present Cluster measurements of large electric fields correlated with
intense downward field-aligned currents, and show that the data can be
reproduced by a simple model of ionospheric plasma depletion caused by the
currents. This type of magnetosphere-ionosphere interaction may be important
when considering the mapping between these two regions of space.
",physics.space-ph physics.plasm-ph
MATLAB codes for teaching quantum physics: Part 1,"  Among the ideas to be conveyed to students in an introductory quantum course,
we have the pivotal idea championed by Dirac that functions correspond to
column vectors (kets) and that differential operators correspond to matrices
(ket-bras) acting on those vectors. The MATLAB (matrix-laboratory) programming
environment is especially useful in conveying these concepts to students
because it is geared towards the type of matrix manipulations useful in solving
introductory quantum physics problems. In this article, we share MATLAB codes
which have been developed at WPI, focusing on 1D problems, to be used in
conjunction with Griffiths' introductory text.
",physics.ed-ph physics.comp-ph
